SectionName,Section,Low22,Student22,Regular22,Year,MembershipCount
Sociology of Culture,,41,336,600,2008,NA
Sociology of Culture,,41,336,600,2009,NA
Sociology of Culture,,41,336,600,2010,NA
Sociology of Culture,,41,336,600,2011,NA
Sociology of Culture,,41,336,600,2012,NA
Sociology of Culture,,41,336,600,2013,NA
Sociology of Culture,,41,336,600,2014,NA
Sociology of Culture,,41,336,600,2015,NA
Sociology of Culture,,41,336,600,2016,NA
Sociology of Culture,,41,336,600,2017,1028
Sociology of Culture,,41,336,600,2018,995
Sociology of Culture,,41,336,600,2019,971
Sociology of Culture,,41,336,600,2020,948
Sociology of Culture,,41,336,600,2021,967
Sociology of Culture,,41,336,600,2022,977
Sociology of Development,,21,101,243,2008,NA
Sociology of Development,,21,101,243,2009,NA
Sociology of Development,,21,101,243,2010,NA
Sociology of Development,,21,101,243,2011,357
Sociology of Development,,21,101,243,2012,421
Sociology of Development,,21,101,243,2013,465
Sociology of Development,,21,101,243,2014,496
Sociology of Development,,21,101,243,2015,481
Sociology of Development,,21,101,243,2016,480
Sociology of Development,,21,101,243,2017,507
Sociology of Development,,21,101,243,2018,500
Sociology of Development,,21,101,243,2019,476
Sociology of Development,,21,101,243,2020,439
Sociology of Development,,21,101,243,2021,436
Sociology of Development,,21,101,243,2022,365
Sociology of Education,,32,245,435,2008,812
Sociology of Education,,32,245,435,2009,847
Sociology of Education,,32,245,435,2010,813
Sociology of Education,,32,245,435,2011,862
Sociology of Education,,32,245,435,2012,818
Sociology of Education,,32,245,435,2013,833
Sociology of Education,,32,245,435,2014,829
Sociology of Education,,32,245,435,2015,772
Sociology of Education,,32,245,435,2016,754
Sociology of Education,,32,245,435,2017,713
Sociology of Education,,32,245,435,2018,719
Sociology of Education,,32,245,435,2019,722
Sociology of Education,,32,245,435,2020,648
Sociology of Education,,32,245,435,2021,757
Sociology of Education,,32,245,435,2022,712
Sociology of Emotions,,7,98,141,2008,278
Sociology of Emotions,,7,98,141,2009,270
Sociology of Emotions,,7,98,141,2010,262
Sociology of Emotions,,7,98,141,2011,269
Sociology of Emotions,,7,98,141,2012,274
Sociology of Emotions,,7,98,141,2013,275
Sociology of Emotions,,7,98,141,2014,263
Sociology of Emotions,,7,98,141,2015,252
Sociology of Emotions,,7,98,141,2016,226
Sociology of Emotions,,7,98,141,2017,242
Sociology of Emotions,,7,98,141,2018,240
Sociology of Emotions,,7,98,141,2019,250
Sociology of Emotions,,7,98,141,2020,229
Sociology of Emotions,,7,98,141,2021,249
Sociology of Emotions,,7,98,141,2022,246
Sociology of Human Rights,,14,52,155,2008,251
Sociology of Human Rights,,14,52,155,2009,321
Sociology of Human Rights,,14,52,155,2010,290
Sociology of Human Rights,,14,52,155,2011,302
Sociology of Human Rights,,14,52,155,2012,321
Sociology of Human Rights,,14,52,155,2013,287
Sociology of Human Rights,,14,52,155,2014,297
Sociology of Human Rights,,14,52,155,2015,266
Sociology of Human Rights,,14,52,155,2016,245
Sociology of Human Rights,,14,52,155,2017,233
Sociology of Human Rights,,14,52,155,2018,250
Sociology of Human Rights,,14,52,155,2019,261
Sociology of Human Rights,,14,52,155,2020,223
Sociology of Human Rights,,14,52,155,2021,228
Sociology of Human Rights,,14,52,155,2022,221
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2008,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2009,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2010,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2011,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2012,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2013,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2014,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2015,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2016,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2017,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2018,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2019,NA
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2020,138
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2021,249
Sociology of Indigenous Peoples and Native Nations,,9,74,145,2022,228
Sociology of Law,,15,132,285,2008,409
Sociology of Law,,15,132,285,2009,422
Sociology of Law,,15,132,285,2010,442
Sociology of Law,,15,132,285,2011,414
Sociology of Law,,15,132,285,2012,423
Sociology of Law,,15,132,285,2013,419
Sociology of Law,,15,132,285,2014,415
Sociology of Law,,15,132,285,2015,411
Sociology of Law,,15,132,285,2016,414
Sociology of Law,,15,132,285,2017,405
Sociology of Law,,15,132,285,2018,400
Sociology of Law,,15,132,285,2019,431
Sociology of Law,,15,132,285,2020,416
Sociology of Law,,15,132,285,2021,479
Sociology of Law,,15,132,285,2022,432
Sociology of Mental Health,,20,75,190,2008,408
Sociology of Mental Health,,20,75,190,2009,410
Sociology of Mental Health,,20,75,190,2010,418
Sociology of Mental Health,,20,75,190,2011,457
Sociology of Mental Health,,20,75,190,2012,428
Sociology of Mental Health,,20,75,190,2013,447
Sociology of Mental Health,,20,75,190,2014,338
Sociology of Mental Health,,20,75,190,2015,307
Sociology of Mental Health,,20,75,190,2016,313
Sociology of Mental Health,,20,75,190,2017,313
Sociology of Mental Health,,20,75,190,2018,382
Sociology of Mental Health,,20,75,190,2019,303
Sociology of Mental Health,,20,75,190,2020,277
Sociology of Mental Health,,20,75,190,2021,343
Sociology of Mental Health,,20,75,190,2022,285
Sociology of Population,,17,131,359,2008,472
Sociology of Population,,17,131,359,2009,512
Sociology of Population,,17,131,359,2010,499
Sociology of Population,,17,131,359,2011,520
Sociology of Population,,17,131,359,2012,490
Sociology of Population,,17,131,359,2013,514
Sociology of Population,,17,131,359,2014,535
Sociology of Population,,17,131,359,2015,549
Sociology of Population,,17,131,359,2016,517
Sociology of Population,,17,131,359,2017,474
Sociology of Population,,17,131,359,2018,494
Sociology of Population,,17,131,359,2019,494
Sociology of Population,,17,131,359,2020,454
Sociology of Population,,17,131,359,2021,484
Sociology of Population,,17,131,359,2022,507
Sociology of Religion,,33,122,292,2008,655
Sociology of Religion,,33,122,292,2009,698
Sociology of Religion,,33,122,292,2010,686
Sociology of Religion,,33,122,292,2011,672
Sociology of Religion,,33,122,292,2012,643
Sociology of Religion,,33,122,292,2013,641
Sociology of Religion,,33,122,292,2014,605
Sociology of Religion,,33,122,292,2015,605
Sociology of Religion,,33,122,292,2016,578
Sociology of Religion,,33,122,292,2017,504
Sociology of Religion,,33,122,292,2018,465
Sociology of Religion,,33,122,292,2019,474
Sociology of Religion,,33,122,292,2020,421
Sociology of Religion,,33,122,292,2021,460
Sociology of Religion,,33,122,292,2022,447
Sociology of Sex and Gender,,44,361,645,2008,NA
Sociology of Sex and Gender,,44,361,645,2009,NA
Sociology of Sex and Gender,,44,361,645,2010,NA
Sociology of Sex and Gender,,44,361,645,2011,NA
Sociology of Sex and Gender,,44,361,645,2012,NA
Sociology of Sex and Gender,,44,361,645,2013,NA
Sociology of Sex and Gender,,44,361,645,2014,NA
Sociology of Sex and Gender,,44,361,645,2015,NA
Sociology of Sex and Gender,,44,361,645,2016,NA
Sociology of Sex and Gender,,44,361,645,2017,1099
Sociology of Sex and Gender,,44,361,645,2018,1121
Sociology of Sex and Gender,,44,361,645,2019,1110
Sociology of Sex and Gender,,44,361,645,2020,1025
Sociology of Sex and Gender,,44,361,645,2021,1088
Sociology of Sex and Gender,,44,361,645,2022,1050
Sociology of Sexualities,,22,170,257,2008,458
Sociology of Sexualities,,22,170,257,2009,486
Sociology of Sexualities,,22,170,257,2010,442
Sociology of Sexualities,,22,170,257,2011,507
Sociology of Sexualities,,22,170,257,2012,485
Sociology of Sexualities,,22,170,257,2013,558
Sociology of Sexualities,,22,170,257,2014,538
Sociology of Sexualities,,22,170,257,2015,580
Sociology of Sexualities,,22,170,257,2016,529
Sociology of Sexualities,,22,170,257,2017,504
Sociology of Sexualities,,22,170,257,2018,538
Sociology of Sexualities,,22,170,257,2019,506
Sociology of Sexualities,,22,170,257,2020,442
Sociology of Sexualities,,22,170,257,2021,481
Sociology of Sexualities,,22,170,257,2022,449
Teaching and Learning in Sociology,,35,135,419,2008,791
Teaching and Learning in Sociology,,35,135,419,2009,813
Teaching and Learning in Sociology,,35,135,419,2010,747
Teaching and Learning in Sociology,,35,135,419,2011,804
Teaching and Learning in Sociology,,35,135,419,2012,801
Teaching and Learning in Sociology,,35,135,419,2013,767
Teaching and Learning in Sociology,,35,135,419,2014,737
Teaching and Learning in Sociology,,35,135,419,2015,675
Teaching and Learning in Sociology,,35,135,419,2016,643
Teaching and Learning in Sociology,,35,135,419,2017,620
Teaching and Learning in Sociology,,35,135,419,2018,642
Teaching and Learning in Sociology,,35,135,419,2019,657
Teaching and Learning in Sociology,,35,135,419,2020,609
Teaching and Learning in Sociology,,35,135,419,2021,690
Teaching and Learning in Sociology,,35,135,419,2022,589
Theory,,38,243,454,2008,838
Theory,,38,243,454,2009,858
Theory,,38,243,454,2010,818
Theory,,38,243,454,2011,859
Theory,,38,243,454,2012,802
Theory,,38,243,454,2013,825
Theory,,38,243,454,2014,856
Theory,,38,243,454,2015,835
Theory,,38,243,454,2016,824
Theory,,38,243,454,2017,826
Theory,,38,243,454,2018,802
Theory,,38,243,454,2019,769
Theory,,38,243,454,2020,754
Theory,,38,243,454,2021,755
Theory,,38,243,454,2022,735
